95,NES,ACT,キックチャレンジャー エアフット 野菜の国の足戦士,,2014/12/29
96,NES,SLG,SDガンダムワールド  ガチャポン戦士スクランブルウォーズ,,2014/12/29
97,NES,ADV,アイドルホットライン　中山美穂のトキメキハイスクール,,2014/12/29
98,NES,ETC,サンタクロースの宝箱,,2014/12/29
99,NES,ETC,ドレミッコ,,2014/12/29
100,NES,SPT,エキサイティングベースボール,,2014/12/29
101,NES,ETC,極楽遊戯　（げーむてんごく）,,2014/12/29
102,NES,ACT,ウルトラマン２　出撃科特隊,,2014/12/29
103,NES,ETC,ナゾラーランドスペシャル  クイズ王を探せ,,2014/12/29
104,NES,SLG,SDガンダムワールド  ガチャポン戦士スクランブルウォーズ,,2014/12/29
105,NES,SPT,アイスホッケー,,2014/12/29
106,NES,STG,ガンスモーク,,2014/12/29
107,NES,A-RPG,ファイヤーバム,,2014/12/29
108,NES,SPT,エキサイティングサッカー,,2014/12/29
109,NES,ACT,レプリカート,,2014/12/29
110,NES,ACT,ドルイド　恐怖の扉,,2014/12/29
111,NES,STG,１９（ヌイーゼン）,,2014/12/29
112,NES,STG,ツインビー,,2014/12/29
113,NES,ETC,ナゾラーランド第３号,,2014/12/29
114,NES,ACT,おもいっきり探偵団　覇悪怒組  魔天郎の挑戦状,,2014/12/29
115,NES,ACT,ワードナの森,,2014/12/29
116,NES,A-RPG,アスピック(ASPIC)　魔蛇王の呪い,,2014/12/29
117,NES,ACT,ドンキーコング,,2014/12/29
118,NES,RAC,３Dホットラリー  ファミコングランプリⅡ,,2014/12/29
119,NES,ACT,仮面ライダー　BLACK  対決シャドームーン,,2014/12/29
120,NES,ACT,バイオミラクルぼくってウパ,,2014/12/29
121,NES,ACT,風雲少林拳　暗黒の魔王,,2014/12/29
122,NES,ADV,ファミコン探偵倶楽部　消えた後継者　（前編）,,2014/12/29
123,NES,STG,ファイナルコマンドー　赤い要塞,,2014/12/29
124,NES,ACT,グーニーズ,,2014/12/29
125,NES,ADV,ファミコン探偵倶楽部　消えた後継者　（後編）,,2014/12/29
126,NES,ACT,ファイヤーロック,,2014/12/29
127,NES,ADV,リサの妖精伝説,,2014/12/29
128,NES,ETC,ムーンボールマジック,,2014/12/29
129,NES,A-STG,亜空戦記ライジン,,2014/12/29
130,NES,ADV,遠山の金さん　すぺえす帆　Mr．GOLD,,2014/12/29
131,NES,ACT,ドンキーコングJr,,2014/12/29
132,NES,ACT,カラテ　チャンプ（KARATE　CHAMP）,,2014/12/29
133,NES,SPT,コナミックアイスホッケー,,2014/12/29
134,NES,ETC,らじかるぼんばー  地雷くん,,2014/12/29
135,NES,ACT,爆闘士パットンくん,,2014/12/29
136,NES,RPG,シルヴィアーナ　愛いっぱいの冒険者,,2014/12/29
137,NES,TBL,谷川浩司の将棋指南Ⅱ　新版  つめ将棋次の一手,,2014/12/29
138,NES,SPT,ビッグチャレンジ！柔道選手権,,2014/12/29
139,NES,SPT,コナミックテニス,,2014/12/29
140,NES,PZL,エッガーランド　創造への旅立ち,,2014/12/29
141,NES,ACT,魔塔の崩壊,,2014/12/29
142,NES,SPT,キック＆ラン,,2014/12/29
143,NES,ETC,パチコン,,2014/12/29
144,NES,RPG,ダンディー　ゼウオンの復活,,2014/12/29
145,NES,STG,ビッグチャレンジ！ドッグファイトスピリッツ,,2014/12/29
146,NES,RPG,ウルトラマン倶楽部　地球奪還作戦,,2014/12/29
147,NES,ETC,遊メイズ,,2014/12/29
148,NES,ADV,サムライソード,,2014/12/29
149,NES,ACT,アイスクライマー,,2014/12/29
150,NES,STG,ジャイラス,,2014/12/29
151,NES,ETC,パチンコGP（グランプリ）,,2014/12/29
152,NES,ADV,じゃあまん探偵団魔隣組　丸秘ジゴマ捜査ファイル,,2014/12/29
153,NES,ACT,帰ってきたマリオブラザーズ,,2014/12/29
154,NES,RAC,VSエキサイトバイク,,2014/12/29
155,NES,ADV,なんきんのアドベンチャー,,2014/12/29
156,NES,ADV,探偵神宮寺三郎　危険な二人　（前編）,,2014/12/29
157,NES,ETC,タロット占い,,2014/12/29
158,NES,STG,ハレーウォーズ,,2014/12/29
159,NES,ACT,機動警察パトレイバー　第２小隊出動せよ！,,2014/12/29
160,NES,ACT,レッキングクルー,,2014/12/29
161,NES,ADV,探偵神宮寺三郎　危険な二人　（後編）,,2014/12/29
162,NES,PZL,ロジャーラビット,,2014/12/29
163,NES,ACT,タマ＆フレンズ　３丁目大冒険,,2014/12/29
164,NES,SLG,SDガンダムワールド ガチャポン戦士スクランブルウォーズ  マップコレクション,,2014/12/29
165,NES,ADV,光GENJIローラーパニック,,2014/12/29
166,NES,STG,ビッグチャレンジ！ガンファイター,,2014/12/29
167,NES,RPG,フェアリーテイル,,2014/12/29
168,NES,SPT,パット・パット・ゴルフ,,2014/12/29
169,NES,ADV,ファミコン探偵倶楽部Ⅱ　うしろに立つ少女　（前編）,,2014/12/29
170,NES,ETC,ピンボール,,2014/12/29
171,NES,SPT,ビッグチャレンジ！GOGOボーリング,,2014/12/29
172,NES,ADV,ファミコン探偵倶楽部Ⅱ　うしろに立つ少女　（後編）,,2014/12/29
173,NES,RPG,マグマプロジェクトハッカー,,2014/12/29
174,NES,ACT,バーガータイム,,2014/12/29
175,NES,ADV,遊遊記　ふぁみこんむかし話　（前編）,,2014/12/29
176,NES,SPT,かっとび！童児,,2014/12/29
177,NES,ADV,遊遊記　ふぁみこんむかし話　（後編）,,2014/12/29
178,NES,A-RPG,LUTTER　（リュッター）,,2014/12/29
179,NES,TBL,香港,,2014/12/29
180,NES,ACT,ボンバーマン,,2014/12/29
181,NES,STG,ゼビウス,,2014/12/29
182,NES,ACT,パックマン,,2014/12/29
183,NES,PZL,ナイトムーブ,,2014/12/29
184,NES,STG,ギャラガ,,2014/12/29
185,NES,STG,ギャラクシアン,,2014/12/29
186,NES,ACT,ディグダグ,,2014/12/29
187,NES,ACT,ディグダグⅡ,,2014/12/29
188,NES,PZL,バックギャモン,,2014/12/29
189,NES,PZL,パニックスペース,,2014/12/29
190,NES,PZL,パズルボーイズ,,2014/12/29
191,NES,PZL,石道　(isido),,2014/12/29
192,NES,A-PZL,ソロモンの鍵,,2014/12/29
193,NES,PZL,オール１  ファミマガDisk Vol.3,,2014/12/29
194,NES,PZL,クロックス,,2014/12/29
195,NES,ADV,タイムツイスト　（前編）,,2014/12/29
196,NES,ADV,タイムツイスト　（後編）,,2014/12/29
197,NES,PZL,ぷよぷよ,,2014/12/29
198,NES,PZL,クルクルランド,,2014/12/29
199,NES,PZL,じゃんけんディスク城,,2014/12/29
200,NES,ACT,オールナイトニッポン　スーパーマリオブラザーズ,,2014/12/29
201,NES,A-RPG,ゼルダの伝説　チャルメラバージョン,,2014/12/29
202,NES,SPT,ゴルフUSコース,,2014/12/29
203,NES,SPT,ゴルフJAPANコース　入賞,,2014/12/29
204,NES,STG,惑星アトン外伝,,2014/12/29
205,NES,???,開発用ディスク（織田信長） V.0,,2014/12/29
206,NES,ETC,FMCカードチェッカー,,2014/12/29
207,NES,SPT,ＴＨＥ ＧＯＬＦ 美少女ゴルフクラシック ,,2014/12/29
208,NES,TBL,エミちゃんの燃えろ野球拳,,2014/12/29
209,NES,ADV,カインドゥギャルズ ,,2014/12/29
210,NES,TBL,カジノでＰＩＮＫ                                            ,,2014/12/29
211,NES,ACT,ギャルズダンジョン 野球拳パートⅡ,,2014/12/29
212,NES,???,クイズ雑学オリンピック わたなべわたる編,,2014/12/29
213,NES,???,クイズ雑学オリンピック パートⅡ,,2014/12/29
214,NES,SLG,ゲームの達人 マネーウォーズ,,2014/12/29
215,NES,STG,コミック作家シルーズ#1 闘魔戦記 魔少女学園イーヴル,,2014/12/29
216,NES,STG,コミック作家シルーズ#2 闘魔戦記 マーメイドの逆襲,,2014/12/29
217,NES,STG,コミック作家シルーズ#3 闘魔戦記 龍神先生危機一髪,,2014/12/29
218,NES,TBL,コミック作家シルーズ#4 闘魔戦記 天空龍魔王復活,,2014/12/29
219,NES,TBL,コミック作家シルーズ#5 闘魔戦記 妖獣ルドの挑戦,,2014/12/29
220,NES,STG,セクシーインベーダー,,2014/12/29
221,NES,???,セクシー野球拳アドベンチャーⅡ,,2014/12/29
222,NES,TBL,フルーツ麻雀1,,2014/12/29
223,NES,TBL,フルーツ麻雀2,,2014/12/29
224,NES,TBL,フルーツ麻雀3,,2014/12/29
225,NES,TBL,フルーツ麻雀4,,2014/12/29
226,NES,RPG,ボディコンクエストⅠ 暴かれし娘たち,,2014/12/29
227,NES,PZL,リップスティック #1 ロリータ編,,2014/12/29
228,NES,PZL,リップスティック #2 女子学生編,,2014/12/29
229,NES,PZL,リップスティック #3 ＯＬ編,,2014/12/29
230,NES,PZL,リップスティック #4 白衣の天使編,,2014/12/29
231,NES,PZL,リップスティック #5 スチュワーデス編,,2014/12/29
232,NES,ACT,亜紀とつかさの不思議の壁 ,,2014/12/29
233,NES,???,小林ひとみのホールドアップ ,,2014/12/29
234,NES,SPT,小林ひとみ 衝撃的テニス,,2014/12/29
235,NES,ADV,天使達の放課後 ,,2014/12/29
236,NES,TBL,葉山レイコのデートでブラックジャック ,,2014/12/29
237,NES,TBL,麻雀ゴラク　美少女名人戦,,2014/12/29
238,NES,TBL,麻雀家族,,2014/12/29
239,NES,TBL,美少女SFエイリアンバトル,,2014/12/29
240,NES,STG,美少女コントロール,,2014/12/29
241,NES,TBL,美少女セクシーダービー,,2014/12/29
242,NES,TBL,美少女セクシーパズル,,2014/12/29
243,NES,TBL,美少女セクシースロット,,2014/12/29
244,NES,TBL,美少女勝ち抜き連珠,,2014/12/29
245,NES,???,美少女写真館 スタジオカット,,2014/12/29
246,NES,???,美少女写真館 ムービングスクール,,2014/12/29
247,NES,TBL,美少女花札倶楽部 #1 おいちょかぶ編,,2014/12/29
248,NES,TBL,美少女花札倶楽部 #2 こいこい・ばかっ花編,,2014/12/29
249,NES,TBL,美少女麻雀倶楽部,,2014/12/29
250,NES,???,燃える野球拳,,2014/12/29
251,NES,ACT,名門女子高生 セーラー服美少女図鑑 #1 名門山の手お嬢様女子高編A,,2014/12/29
